graphID,participantID,xCoordTour,yCoordTour,tourCost,sdAnglesHull,noAnglesHull,meanAnglesHull,totalEdges,crossError,resultsfromNN,No. of crossings,On last
3,0.081473552,"99,88,84,79,82,57,50,36,10,9,6,8,21,30,31,40,50,53,72,99","52,39,40,28,51,31,26,3,27,57,87,98,71,53,59,51,56,84,85,70",407.0907309,28.09,8,135,20,0,569.58,,
10,0.081473552,"96,92,75,65,62,46,52,12,16,19,22,13,15,10,7,24,30,32,27,17,21,23,28,41,43,47,59,62,66,70,68,70,81,83,83,94,99,92,96,98","9,3,6,14,22,4,28,11,22,33,44,57,63,80,85,65,49,56,67,99,97,90,86,66,78,78,75,46,89,77,46,36,35,54,65,69,55,49,44,40",630.2060065,20.6,9,140,40,0,644.39,,
4,0.081473552,"99,93,79,66,28,40,45,26,27,21,18,11,0,0,13,58,74,84,83,77","22,87,82,94,98,75,54,71,64,57,44,51,57,24,9,8,60,59,37,11",496.7493585,25.36,9,139.75,20,0,548.01,,
9,0.081473552,"94,99,97,94,88,65,52,48,39,16,19,8,0,1,9,3,4,33,31,38,44,50,50,46,49,48,53,55,59,68,73,75,80,92,85,64,68,75,86,87","7,71,77,81,91,90,99,99,94,94,81,83,97,84,60,50,21,8,40,40,79,78,62,50,31,12,21,25,31,41,62,48,67,63,51,14,4,5,4,15",676.7242966,28.76,11,147.27,40,0,649.17,,
12,0.081473552,"98,96,99,91,67,62,56,45,51,47,45,40,36,31,31,21,12,22,17,9,1,0,5,27,26,39,30,38,32,25,19,11,0,17,20,30,30,38,44,48,57,56,57,61,68,72,80,87,85,85","34,64,98,76,77,91,75,92,60,63,70,77,85,91,86,96,99,80,78,83,82,60,56,71,61,58,53,41,36,39,34,22,20,5,9,15,4,5,11,9,5,13,25,26,13,30,51,39,30,22",667.9424475,27.03,10,144,50,0,816.69,,
5,0.081473552,"97,91,89,63,30,2,6,8,12,30,28,39,47,46,52,60,66,73,72,86","19,45,64,91,84,51,20,7,35,18,35,54,48,13,26,27,44,52,13,9",461.3002221,23.34,8,135,20,0,474,,
8,0.081473552,"97,80,28,7,0,1,20,24,7,14,21,21,19,26,31,34,50,51,52,59,81,91,96,91,79,68,88,94,95,94","2,5,14,6,18,42,27,47,90,94,97,91,87,81,86,88,66,91,97,96,90,73,67,58,73,51,24,30,25,15",507.7013973,27.56,11,147.27,30,0,593.5,,
7,0.081473552,"98,93,88,86,48,42,40,32,28,24,10,0,5,8,6,3,28,28,37,35,39,40,45,61,51,55,65,76,82,85,95","22,56,92,64,83,87,70,64,75,67,65,55,48,42,9,3,4,28,42,27,24,12,20,41,10,3,2,11,42,20,19",546.2503589,30.14,8,135,30,0,522.3,,
13,0.081473552,"96,98,99,96,74,64,42,27,12,16,2,3,1,5,1,2,9,11,14,18,20,36,40,46,54,40,34,31,26,17,15,25,29,37,40,46,43,46,56,58,65,73,75,76,75,83,85,85,87,88","47,24,19,18,12,7,6,8,13,19,16,25,34,47,64,81,62,89,71,72,85,95,99,94,88,85,83,79,79,53,48,46,31,73,71,67,52,50,33,25,38,39,29,37,52,91,87,51,42,28",701.3622549,25.29,13,180,50,0,653.11,,
0,0.081473552,"89,73,61,41,26,7,1,11,57,94","39,60,55,96,64,51,39,13,4,23",289.8833337,32,7,128.57,10,0,289.88,,
2,0.081473552,"98,61,31,9,23,29,36,68,92,90","34,27,56,50,89,84,96,84,82,67",272.6723375,23.37,6,120,10,0,280.33,,
1,0.081473552,"41,21,22,13,37,93,95,75,66,38","14,2,17,28,47,90,65,50,51,30",264.1988407,49.73,6,120,10,0,275.5,,
14,0.081473552,"94,90,84,73,83,83,66,58,53,51,49,43,46,23,16,13,16,4,7,4,2,9,15,9,12,13,18,27,30,43,40,44,46,46,48,50,50,53,54,50,62,65,82,89,81,76,79,81,83,90,90","40,78,95,94,79,67,71,84,85,72,88,81,96,97,97,99,85,84,76,76,46,54,59,5,11,6,4,35,56,56,12,4,15,35,46,50,50,50,42,18,38,9,5,8,13,59,56,46,50,45,32",764.9835806,26.85,11,147.27,50,0,738.37,,
6,0.366841843,"90,65,51,41,21,20,13,0,1,2,14,17,22,30,37,35,33,28,30,38,47,51,50,53,65,63,66,93,95,89,82","4,18,6,6,13,18,40,53,80,85,73,72,46,45,49,53,65,82,95,95,93,73,61,62,55,76,73,95,79,73,63",490.4483471,29.23,9,140,30,0,520.95,,
2,0.366841843,"98,61,31,9,23,29,36,68,92,90","34,27,56,50,89,84,96,84,82,67",272.6723375,23.37,6,120,10,0,280.33,,
12,0.366841843,"98,87,80,85,85,72,68,61,57,56,57,48,44,38,30,30,20,17,0,11,19,25,32,38,30,26,5,0,1,9,12,21,17,22,27,31,31,36,40,39,45,47,51,56,45,62,67,99,91,96","34,39,51,30,22,30,13,26,25,13,5,9,11,5,4,15,9,5,20,22,34,39,36,41,53,61,56,60,82,83,99,96,78,80,71,86,91,85,77,58,70,63,60,75,92,91,77,98,76,64",653.3589809,27.03,10,144,50,0,816.69,,
9,0.366841843,"94,87,86,75,68,64,59,55,53,48,49,33,38,31,4,3,9,1,0,8,16,19,39,48,52,50,44,50,46,68,65,88,94,97,99,92,80,73,75,85","7,15,4,5,4,14,31,25,21,12,31,8,40,40,21,50,60,84,97,83,94,81,94,99,99,78,79,62,50,41,90,91,81,77,71,63,67,62,48,51",648.04088,28.76,11,147.27,40,0,649.17,,
10,0.366841843,"96,92,75,65,62,52,46,12,16,19,22,13,15,24,27,30,32,41,10,7,17,21,23,28,43,47,59,66,70,62,68,70,81,83,83,94,99,92,96,98","9,3,6,14,22,28,4,11,22,33,44,57,63,65,67,49,56,66,80,85,99,97,90,86,78,78,75,89,77,46,46,36,35,54,65,69,55,49,44,40",529.3595434,20.6,9,140,40,0,644.39,,
1,0.366841843,"41,21,22,13,37,93,95,75,66,38","14,2,17,28,47,90,65,50,51,30",264.1988407,49.73,6,120,10,0,275.5,,
4,0.366841843,"99,77,58,13,0,0,11,18,21,27,26,28,40,45,66,79,93,84,74,83","22,11,8,9,24,57,51,44,57,64,71,98,75,54,94,82,87,59,60,37",432.1836106,25.36,9,139.75,20,0,548.01,,
8,0.366841843,"97,80,28,7,0,1,20,24,7,14,19,21,21,26,31,34,50,51,52,59,81,79,68,91,96,91,94,88,95,94","2,5,14,6,18,42,27,47,90,94,87,91,97,81,86,88,66,91,97,96,90,73,51,73,67,58,30,24,25,15",522.7756164,27.56,11,147.27,30,0,593.5,,
11,0.366841843,"94,83,64,68,65,56,55,58,52,45,34,12,2,8,12,17,17,22,17,15,19,25,36,37,27,33,42,49,56,56,48,54,62,66,74,77,81,83,85,90","43,5,2,10,17,12,24,30,35,25,29,30,27,70,63,58,46,48,71,96,90,95,81,96,51,58,66,67,66,76,80,96,88,79,65,87,77,71,84,70",590.4293121,26.79,9,140.1,40,1,568.39,1,F
13,0.366841843,"96,98,99,96,88,87,85,75,73,76,75,74,64,65,56,58,42,27,16,12,2,3,1,5,1,2,9,11,14,17,15,25,29,18,20,26,31,34,36,40,46,54,40,37,40,46,43,46,83,85","47,24,19,18,28,42,51,52,39,37,29,12,7,38,33,25,6,8,19,13,16,25,34,47,64,81,62,89,71,53,48,46,31,72,85,79,79,83,95,99,94,88,85,73,71,67,52,50,91,87",701.83539,25.29,13,180,50,0,653.11,,
7,0.366841843,"98,95,85,76,65,55,51,45,40,39,35,28,28,6,3,8,5,0,10,24,28,32,37,40,42,48,61,88,86,93,82","22,19,20,11,2,3,10,20,12,24,27,4,28,9,3,42,48,55,65,67,75,64,42,70,87,83,41,92,64,56,42",543.7045703,30.14,8,135,30,0,522.3,,
0,0.366841843,"89,94,57,11,1,7,26,41,61,73","39,23,4,13,39,51,64,96,55,60",289.8833337,32,7,128.57,10,0,289.88,,
5,0.366841843,"97,86,72,60,52,46,30,8,6,12,28,2,30,39,47,63,66,73,89,91","19,9,13,27,26,13,18,7,20,35,35,51,84,54,48,91,44,52,64,45",441.4358375,23.34,8,135,20,0,474,,
14,0.366841843,"94,90,89,82,81,65,50,46,40,44,18,13,12,9,2,9,4,4,7,15,16,13,16,23,30,27,43,46,48,50,50,53,54,62,51,43,46,49,53,58,73,84,90,83,66,83,76,79,83,81,90","40,32,8,5,13,9,18,15,12,4,4,6,11,5,46,54,76,84,76,59,85,99,97,97,56,35,56,35,46,50,50,50,42,38,72,81,96,88,85,84,94,95,78,79,71,67,59,56,50,46,45",667.7678773,26.85,11,147.27,50,0,738.37,,
3,0.366841843,"99,88,84,79,57,50,36,10,9,6,8,21,31,30,40,50,53,72,82,99","52,39,40,28,31,26,3,27,57,87,98,71,59,53,51,56,84,85,51,70",397.7845155,28.09,8,135,20,0,569.58,,
11,0.96285938,"94,90,83,81,85,77,74,66,62,54,56,56,49,48,42,36,37,25,19,15,17,8,12,17,33,27,22,17,2,12,34,45,52,58,55,56,65,64,68,83","43,70,71,77,84,87,65,79,88,96,76,66,67,80,66,81,96,95,90,96,71,70,63,58,58,51,48,46,27,30,29,25,35,30,24,12,17,2,10,5",522.9704401,26.79,9,140.1,40,0,568.39,,
0,0.96285938,"89,73,61,41,26,7,1,11,57,94","39,60,55,96,64,51,39,13,4,23",289.8833337,32,7,128.57,10,0,289.88,,
4,0.96285938,"99,83,74,84,93,79,66,28,40,45,27,26,21,18,11,0,0,13,58,77","22,37,60,59,87,82,94,98,75,54,64,71,57,44,51,57,24,9,8,11",424.3799408,25.36,9,139.75,20,0,548.01,,
8,0.96285938,"97,94,88,95,94,91,96,91,79,81,68,50,59,52,51,34,31,26,19,21,21,14,7,24,1,0,7,20,28,80","2,15,24,25,30,58,67,73,73,90,51,66,96,97,91,88,86,81,87,91,97,94,90,47,42,18,6,27,14,5",501.7231751,27.56,11,147.27,30,0,593.5,,
13,0.96285938,"96,98,99,96,88,87,85,85,83,75,73,76,75,74,64,65,58,56,46,43,46,54,46,40,36,40,34,40,37,31,26,20,11,18,14,2,1,9,17,25,29,15,5,1,3,2,12,16,27,42","47,24,19,18,28,42,51,87,91,52,39,37,29,12,7,38,25,33,50,52,67,88,94,99,95,85,83,71,73,79,79,85,89,72,71,81,64,62,53,46,31,48,47,34,25,16,13,19,8,6",686.9432227,25.29,13,180,50,1,653.11,1,T
7,0.96285938,"98,95,85,82,93,86,88,61,48,42,40,32,28,24,10,0,5,8,37,3,6,28,28,35,39,40,45,51,55,65,76","22,19,20,42,56,64,92,41,83,87,70,64,75,67,65,55,48,42,42,3,9,4,28,27,24,12,20,10,3,2,11",529.385327,30.14,8,135,30,1,522.3,2,
6,0.96285938,"90,65,93,95,89,82,65,66,63,53,50,51,47,38,30,28,33,35,37,30,2,1,14,17,0,22,13,20,21,41,51","4,18,95,79,73,63,55,73,76,62,61,73,93,95,95,82,65,53,49,45,85,80,73,72,53,46,40,18,13,6,6",543.735664,29.23,9,140,30,1,520.95,2,
9,0.96285938,"94,87,88,94,97,99,92,85,80,73,65,52,48,39,44,50,50,46,0,16,19,8,1,9,3,4,31,38,33,48,49,53,55,59,68,75,64,68,75,86","7,15,91,81,77,71,63,51,67,62,90,99,99,94,79,78,62,50,97,94,81,83,84,60,50,21,40,40,8,12,31,21,25,31,41,48,14,4,5,4",674.8223345,28.76,11,147.27,40,1,649.17,2,
2,0.96285938,"98,90,92,68,36,23,29,31,9,61","34,67,82,84,96,89,84,56,50,27",275.3135394,23.37,6,120,10,0,280.33,,
